Топ-10 важных признаков:
                         feature  importance
         cat__Internet Service_1    0.628461
        cat__Paperless Billing_1    0.533559
           cat__Multiple Lines_1    0.341349
             cat__Streaming TV_1    0.331733
                        num__Age    0.288497
num__Total Long Distance Charges    0.168835
                    cat__Offer_1    0.165865
    num__Avg Monthly GB Download    0.158516
 cat__Total Extra Data Charges_1    0.093652
   cat__Device Protection Plan_1    0.001190
