iter	Recall	Logloss
0	0.8166666667	0.6874158031
1	0.86	0.6840647464
2	0.86	0.6801384857
3	0.8566666667	0.6761036263
4	0.8633333333	0.6706517856
5	0.8666666667	0.6665359984
6	0.8666666667	0.6618774363
7	0.86	0.657536925
8	0.8633333333	0.6532040223
9	0.86	0.648592028
10	0.86	0.6436369147
11	0.86	0.6392846273
12	0.86	0.6350153937
13	0.86	0.6309146227
14	0.86	0.6260099248
15	0.86	0.6229019099
16	0.86	0.6190482356
17	0.86	0.614321175
18	0.86	0.6111698085
19	0.86	0.6072112397
20	0.8566666667	0.6040165269
21	0.8633333333	0.6012855602
22	0.8633333333	0.5983084492
23	0.8633333333	0.5948351647
24	0.8633333333	0.5930162045
25	0.8633333333	0.5895484424
26	0.86	0.5865796993
27	0.86	0.583928468
28	0.8633333333	0.5808015959
29	0.86	0.577596878
30	0.86	0.5756108506
31	0.8633333333	0.5728405859
32	0.86	0.570036201
33	0.86	0.5678938756
34	0.86	0.5665283428
35	0.8633333333	0.5644323081
36	0.8633333333	0.5623173966
37	0.8633333333	0.5598602214
38	0.86	0.5571689732
39	0.86	0.5554288999
40	0.86	0.5524612528
41	0.86	0.5499251742
42	0.86	0.5472453834
43	0.86	0.5446581728
44	0.86	0.5430559477
45	0.86	0.5406592112
46	0.86	0.5389684271
47	0.86	0.5372780042
48	0.86	0.5347226237
49	0.86	0.5322432598
50	0.86	0.5297928548
51	0.86	0.5285064943
52	0.86	0.5271850049
53	0.86	0.5253769182
54	0.86	0.5234717627
55	0.86	0.521221647
56	0.86	0.5191501305
57	0.86	0.5174590642
58	0.86	0.515440243
59	0.86	0.5138271758
60	0.86	0.5127102021
61	0.86	0.5107831954
62	0.86	0.5091097542
63	0.86	0.5081911787
64	0.86	0.5068310457
65	0.86	0.5053702474
66	0.86	0.5043938912
67	0.86	0.5022947161
68	0.86	0.5010937013
69	0.86	0.4992577261
70	0.86	0.4974263065
71	0.86	0.4956135879
72	0.86	0.4942013085
73	0.86	0.4937563529
74	0.86	0.4924250512
75	0.86	0.4906632108
76	0.86	0.4887476248
77	0.86	0.4871520302
78	0.86	0.4854530193
79	0.86	0.4843014237
80	0.86	0.4828851811
81	0.86	0.4816405941
82	0.86	0.4807954806
83	0.86	0.4797971832
84	0.86	0.4788661029
85	0.86	0.4782052238
86	0.86	0.4766285242
87	0.86	0.475621432
88	0.86	0.4748051142
89	0.86	0.473780867
90	0.86	0.4729997673
91	0.86	0.4723401157
92	0.86	0.4716031655
93	0.86	0.4701933249
94	0.86	0.4695167845
95	0.86	0.468243901
96	0.86	0.4665648431
97	0.86	0.4660114082
98	0.86	0.4656299527
99	0.86	0.4645419511
100	0.86	0.4632958471
101	0.86	0.4623216602
102	0.86	0.4608330714
103	0.86	0.4598367649
104	0.86	0.4584339043
105	0.86	0.4574564872
106	0.86	0.4563203215
107	0.86	0.455592176
108	0.86	0.4541985245
109	0.86	0.4534689513
110	0.86	0.4527993304
111	0.86	0.4516001635
112	0.86	0.4506973482
113	0.86	0.4497128866
114	0.86	0.4484063728
115	0.86	0.4476120259
116	0.86	0.4467903562
117	0.86	0.4456009832
118	0.86	0.4447845807
119	0.86	0.4438527248
120	0.86	0.4436930946
121	0.86	0.4427077775
122	0.86	0.4420206058
123	0.86	0.4410839508
124	0.86	0.4402542439
125	0.86	0.4396389038
126	0.86	0.4386785687
127	0.86	0.4374797905
128	0.8633333333	0.4368034799
129	0.8633333333	0.4360034055
130	0.8633333333	0.4358781298
131	0.8633333333	0.4352916902
132	0.8633333333	0.4347101299
133	0.8633333333	0.4340314152
134	0.8633333333	0.4331550575
135	0.8633333333	0.4323053201
136	0.8633333333	0.4314516632
137	0.8633333333	0.4305235458
138	0.8633333333	0.4297606137
139	0.8633333333	0.429064482
140	0.8633333333	0.4285152835
141	0.8633333333	0.4279520617
142	0.8633333333	0.4271755549
143	0.8633333333	0.4264746613
144	0.8633333333	0.4257743997
145	0.8633333333	0.4254523816
146	0.8633333333	0.424838532
147	0.8633333333	0.4238440844
148	0.8633333333	0.4230326006
149	0.8633333333	0.4220413313
150	0.8633333333	0.4214244789
151	0.8633333333	0.4204050997
152	0.8633333333	0.4198585074
153	0.8633333333	0.4190750236
154	0.8633333333	0.4185302727
155	0.8633333333	0.4181750613
156	0.8633333333	0.4176307777
157	0.8633333333	0.417084533
158	0.8633333333	0.4166688764
159	0.8633333333	0.4159758654
160	0.8633333333	0.4155123972
161	0.8633333333	0.4147727383
162	0.8633333333	0.4141922311
163	0.8633333333	0.4133544447
164	0.8633333333	0.4130080387
165	0.8633333333	0.4123233781
166	0.8633333333	0.4117294168
167	0.8633333333	0.4111602399
168	0.8633333333	0.4105021841
169	0.8633333333	0.4096335845
170	0.8633333333	0.408974006
171	0.8633333333	0.4084864527
172	0.8633333333	0.407843617
173	0.8633333333	0.4077577694
174	0.8633333333	0.4072626605
175	0.8633333333	0.4067002057
176	0.8633333333	0.4061722808
177	0.8633333333	0.4055477489
178	0.8633333333	0.4048505736
179	0.8633333333	0.4044059695
180	0.8633333333	0.4039100645
181	0.8633333333	0.4031925416
182	0.8633333333	0.402843744
183	0.8633333333	0.4023216011
184	0.8633333333	0.4023082696
185	0.8633333333	0.401808282
186	0.8633333333	0.401705703
187	0.8633333333	0.401108102
188	0.8633333333	0.4004968486
189	0.8633333333	0.3998406491
190	0.8633333333	0.3993693929
191	0.8633333333	0.3986992623
192	0.8633333333	0.3980923157
193	0.8633333333	0.3978742202
194	0.8633333333	0.3969982646
195	0.8633333333	0.396294632
196	0.8633333333	0.3958141177
197	0.8633333333	0.395088847
198	0.8633333333	0.3943706138
199	0.8633333333	0.3938171573
200	0.8633333333	0.3937292896
201	0.8633333333	0.3929455691
202	0.8633333333	0.3923073059
203	0.8633333333	0.3916838755
204	0.8633333333	0.3910226255
205	0.8633333333	0.3901160948
206	0.8633333333	0.3898139865
207	0.8633333333	0.3892291128
208	0.8633333333	0.3887618477
209	0.8633333333	0.3883050726
210	0.8633333333	0.3881679926
211	0.8633333333	0.3874421644
212	0.8633333333	0.3865331236
213	0.8633333333	0.3862728238
214	0.8633333333	0.3859085545
215	0.8633333333	0.3852919413
216	0.8633333333	0.3845691018
217	0.8633333333	0.3842229703
218	0.8633333333	0.3840039979
219	0.8633333333	0.3835567141
220	0.8666666667	0.3831796084
221	0.8666666667	0.3824743046
222	0.8666666667	0.3821682893
223	0.8666666667	0.3816636639
224	0.8666666667	0.3813081139
225	0.8666666667	0.3806036124
226	0.87	0.3802099845
227	0.87	0.3800687625
228	0.8666666667	0.379335014
229	0.87	0.3785596482
230	0.87	0.3783880334
231	0.87	0.3780569636
232	0.87	0.3775160967
233	0.8733333333	0.3771775917
234	0.8733333333	0.3767457773
235	0.8733333333	0.376515341
236	0.8733333333	0.3760403595
237	0.8733333333	0.3759965423
238	0.8733333333	0.3759693545
239	0.8733333333	0.3758322501
240	0.8733333333	0.3754338371
241	0.8733333333	0.3751429877
242	0.8766666667	0.3748784594
243	0.8766666667	0.3746531054
244	0.8766666667	0.3740444618
245	0.8766666667	0.3737720484
246	0.8766666667	0.3731531034
247	0.8733333333	0.3727826916
248	0.8733333333	0.372502439
249	0.8733333333	0.3717592906
250	0.8733333333	0.3714388065
251	0.8733333333	0.3711472208
252	0.8733333333	0.3709115475
253	0.8733333333	0.3708550013
254	0.8733333333	0.3704686576
255	0.8733333333	0.3698344237
256	0.8733333333	0.3694171681
257	0.8766666667	0.3691246167
258	0.8766666667	0.3687036016
259	0.8766666667	0.3685367412
260	0.8766666667	0.3681320571
261	0.8766666667	0.3676553146
262	0.8766666667	0.3675010008
263	0.8766666667	0.3670301524
264	0.8766666667	0.366416118
265	0.8766666667	0.3659976118
266	0.88	0.3654428681
267	0.88	0.3650295279
268	0.88	0.3646720467
269	0.88	0.3643158693
270	0.88	0.3637741322
271	0.88	0.3632888906
272	0.8833333333	0.3629750748
273	0.8833333333	0.3627930886
274	0.8833333333	0.3622769671
275	0.8833333333	0.3622570261
276	0.8833333333	0.3619796689
277	0.8833333333	0.3619129932
278	0.8866666667	0.3614160328
279	0.8866666667	0.361093736
280	0.8866666667	0.3607264015
281	0.8866666667	0.3603041996
282	0.8833333333	0.3595758665
283	0.8866666667	0.3592026871
284	0.8866666667	0.358857154
285	0.89	0.3586578221
286	0.8933333333	0.3583840041
287	0.89	0.3579803991
288	0.89	0.3577500544
289	0.8933333333	0.3572355698
290	0.8933333333	0.3571212409
291	0.8933333333	0.3570487324
292	0.8933333333	0.356820325
293	0.8933333333	0.3562352401
294	0.8933333333	0.3560367997
295	0.8933333333	0.3558621603
296	0.8966666667	0.3554671233
297	0.8966666667	0.3550705619
298	0.9	0.3546086954
299	0.9	0.3542713717
300	0.9	0.3540514852
301	0.8966666667	0.3535984607
302	0.8966666667	0.3531388274
303	0.8966666667	0.3529640666
304	0.8966666667	0.3527800361
305	0.8966666667	0.35252935
306	0.8966666667	0.3523167726
307	0.8966666667	0.3518915817
308	0.8966666667	0.3516424745
309	0.8966666667	0.3516419253
310	0.8966666667	0.3511365904
311	0.8966666667	0.3506741007
312	0.8966666667	0.3503249753
313	0.9	0.3500292273
314	0.9	0.3498167536
315	0.9	0.3494135939
316	0.9	0.3491836415
317	0.9	0.3490444859
318	0.9	0.3489290299
319	0.9	0.3486235003
320	0.9	0.3484401713
321	0.8966666667	0.3480664221
322	0.8966666667	0.3478922812
323	0.8966666667	0.3475006744
324	0.9	0.3470978429
325	0.9	0.346816628
326	0.9	0.3465973357
327	0.9	0.3463790275
328	0.9	0.3459818642
329	0.9	0.3458153869
330	0.9	0.3452807379
331	0.9033333333	0.3449878997
332	0.9033333333	0.3445391685
333	0.9066666667	0.3441913404
334	0.9066666667	0.3439038241
335	0.9066666667	0.3438994641
336	0.9066666667	0.3435351177
337	0.9066666667	0.3432542922
338	0.9066666667	0.3430244339
339	0.9066666667	0.3427739334
340	0.91	0.3425546359
341	0.91	0.3425042182
342	0.91	0.3423357548
343	0.9066666667	0.3419306833
344	0.9066666667	0.3419305191
345	0.9066666667	0.341680726
346	0.91	0.3414103492
347	0.91	0.340844
348	0.91	0.3402649012
349	0.9133333333	0.3398196225
350	0.9133333333	0.3394324892
351	0.9166666667	0.3391767282
352	0.9166666667	0.3387266414
353	0.9166666667	0.3387264619
354	0.9166666667	0.3385007314
355	0.9166666667	0.337900313
356	0.9166666667	0.337378111
357	0.9166666667	0.3372934602
358	0.9166666667	0.33708375
359	0.9166666667	0.336629098
360	0.9166666667	0.3362927509
361	0.9166666667	0.3359991579
362	0.9166666667	0.3355037278
363	0.9166666667	0.3352745789
364	0.9166666667	0.3347753318
365	0.9166666667	0.3345619826
366	0.9166666667	0.3344014803
367	0.9166666667	0.3338145107
368	0.9166666667	0.3335624258
369	0.9166666667	0.3334167527
370	0.9166666667	0.3333398066
371	0.9166666667	0.3330209447
372	0.9166666667	0.3327937654
373	0.9166666667	0.3327703605
