iter	Passed	Remaining
0	4	4161
1	7	3530
2	10	3461
3	13	3300
4	17	3521
5	21	3551
6	25	3619
7	29	3605
8	32	3620
9	36	3650
10	40	3681
11	42	3502
12	46	3553
13	50	3532
14	54	3598
15	57	3554
16	62	3598
17	65	3595
18	69	3610
19	72	3554
20	74	3474
21	78	3473
22	81	3446
23	84	3455
24	87	3419
25	91	3413
26	93	3387
27	98	3416
28	102	3425
29	105	3425
30	108	3395
31	112	3393
32	115	3381
33	118	3364
34	121	3343
35	123	3320
36	127	3307
37	130	3305
38	133	3295
39	136	3278
40	140	3283
41	146	3335
42	150	3342
43	153	3342
44	155	3310
45	159	3308
46	164	3329
47	167	3315
48	170	3304
49	173	3294
50	177	3309
51	180	3297
52	184	3288
53	188	3308
54	192	3299
55	195	3300
56	198	3288
57	202	3283
58	205	3277
59	209	3282
60	214	3302
61	218	3303
62	222	3307
63	226	3313
64	230	3310
65	234	3311
66	237	3308
67	243	3334
68	246	3329
69	254	3382
70	258	3378
71	262	3381
72	266	3384
73	270	3383
74	274	3391
75	278	3387
76	281	3378
77	287	3396
78	290	3389
79	294	3390
80	297	3378
81	305	3416
82	309	3415
83	312	3410
84	316	3404
85	319	3400
86	323	3394
87	326	3388
88	330	3384
89	334	3384
90	336	3363
91	340	3359
92	343	3352
93	347	3347
94	350	3336
95	354	3336
96	357	3328
97	361	3325
98	364	3319
99	368	3320
100	372	3317
101	376	3311
102	380	3317
103	383	3307
104	387	3299
105	391	3301
106	396	3309
107	400	3309
108	404	3307
109	408	3303
110	412	3300
111	416	3299
112	419	3296
113	423	3290
114	427	3289
115	432	3298
116	436	3295
117	440	3294
118	444	3290
119	449	3297
120	453	3297
121	458	3302
122	462	3296
123	467	3299
124	470	3293
125	474	3293
126	478	3292
127	482	3287
128	484	3272
129	490	3279
130	493	3272
131	495	3260
132	498	3251
133	501	3239
134	505	3236
135	508	3227
136	512	3229
137	515	3219
138	520	3226
139	526	3234
140	529	3228
141	531	3211
142	535	3208
143	540	3210
144	545	3213
145	548	3208
146	553	3213
147	558	3215
148	562	3213
149	565	3203
150	568	3198
151	572	3191
152	575	3187
153	578	3179
154	582	3177
155	585	3169
156	589	3162
157	592	3155
158	595	3148
159	600	3150
160	604	3148
161	607	3141
162	611	3139
163	614	3130
164	618	3129
165	621	3121
166	624	3117
167	627	3108
168	632	3111
169	635	3104
170	639	3098
171	641	3088
172	644	3082
173	648	3079
174	652	3076
175	656	3071
176	658	3062
177	661	3053
178	664	3046
179	667	3040
180	671	3036
181	674	3029
182	676	3021
183	681	3020
184	685	3020
185	689	3017
186	692	3008
187	696	3007
188	699	2999
189	702	2995
190	705	2987
191	708	2982
192	712	2980
193	714	2969
194	716	2959
195	720	2954
196	722	2946
197	726	2942
198	728	2931
199	731	2925
200	735	2922
201	738	2916
202	742	2913
203	745	2908
204	748	2902
205	751	2898
206	754	2890
207	759	2891
208	763	2888
209	767	2886
210	769	2879
211	773	2873
212	774	2862
213	779	2861
214	784	2863
215	787	2858
216	791	2854
217	793	2848
218	798	2846
219	801	2840
220	805	2838
221	810	2839
222	813	2835
223	816	2827
224	819	2822
225	822	2816
226	828	2822
227	832	2817
228	834	2811
229	838	2806
230	841	2802
231	844	2794
232	847	2788
233	849	2782
234	853	2778
235	856	2771
236	858	2764
237	861	2757
238	864	2751
239	865	2741
240	870	2741
241	873	2734
242	877	2733
243	880	2726
244	883	2722
245	886	2717
246	889	2712
247	893	2707
248	896	2703
249	899	2697
250	902	2692
251	907	2694
252	910	2689
253	914	2684
254	917	2679
255	920	2675
256	923	2669
257	927	2666
258	930	2661
259	933	2658
260	937	2654
261	941	2652
262	944	2647
263	949	2648
264	952	2642
265	957	2641
266	960	2636
267	964	2634
268	967	2628
269	970	2625
270	973	2619
271	976	2614
272	978	2604
273	980	2597
274	984	2595
275	988	2591
276	990	2586
277	994	2582
278	997	2577
279	1000	2573
280	1004	2570
281	1007	2566
282	1010	2560
283	1012	2553
284	1017	2551
285	1021	2550
286	1025	2547
287	1028	2542
288	1032	2541
289	1035	2536
290	1038	2530
291	1041	2524
292	1043	2517
293	1047	2515
294	1050	2510
295	1053	2506
296	1056	2500
297	1059	2495
298	1063	2493
299	1067	2489
300	1070	2485
301	1073	2481
302	1075	2473
303	1076	2464
304	1079	2458
305	1083	2457
306	1085	2450
307	1089	2447
308	1090	2439
309	1093	2434
310	1098	2434
311	1101	2429
312	1105	2427
313	1108	2422
314	1114	2424
315	1118	2420
316	1121	2416
317	1124	2412
318	1128	2409
319	1131	2405
320	1135	2401
321	1138	2396
322	1143	2396
323	1145	2390
324	1148	2385
325	1152	2381
326	1155	2377
327	1157	2372
328	1161	2368
329	1164	2363
330	1167	2359
331	1169	2352
332	1173	2350
333	1176	2345
334	1179	2341
335	1182	2336
336	1186	2335
337	1189	2330
338	1194	2328
339	1196	2323
340	1201	2321
341	1204	2317
342	1208	2315
343	1212	2312
344	1216	2310
345	1219	2305
346	1223	2302
347	1226	2298
348	1231	2296
349	1234	2293
350	1238	2289
351	1241	2285
352	1245	2282
353	1250	2281
354	1254	2278
355	1262	2284
356	1267	2282
357	1270	2277
358	1274	2275
359	1277	2270
360	1280	2267
361	1282	2260
362	1284	2254
363	1288	2250
364	1289	2243
365	1292	2239
366	1299	2240
367	1301	2235
368	1306	2233
369	1310	2230
370	1313	2227
371	1317	2224
372	1320	2219
373	1322	2214
374	1325	2209
375	1328	2205
376	1334	2205
377	1336	2198
378	1339	2194
379	1342	2190
380	1346	2186
381	1350	2185
382	1354	2181
383	1356	2176
384	1360	2173
385	1363	2169
386	1366	2163
387	1369	2160
388	1371	2154
389	1374	2150
390	1377	2145
391	1381	2143
392	1383	2137
393	1386	2132
394	1391	2130
395	1393	2125
396	1397	2123
397	1399	2117
398	1403	2114
399	1408	2112
400	1412	2109
401	1415	2106
402	1419	2103
403	1423	2099
404	1427	2096
405	1430	2092
406	1434	2089
407	1438	2087
408	1442	2084
409	1445	2080
410	1449	2076
411	1451	2071
412	1454	2067
413	1457	2062
414	1460	2058
415	1463	2054
416	1466	2050
417	1469	2046
418	1473	2043
419	1476	2038
420	1478	2033
421	1481	2029
422	1484	2024
423	1488	2022
424	1491	2018
425	1496	2016
426	1499	2011
427	1504	2010
428	1508	2008
429	1512	2005
430	1514	1999
431	1519	1998
432	1523	1995
433	1526	1991
434	1528	1985
435	1531	1980
436	1535	1978
437	1539	1974
438	1542	1971
439	1545	1967
440	1550	1964
441	1553	1960
442	1556	1957
443	1559	1953
444	1563	1950
445	1567	1946
446	1573	1946
447	1575	1941
448	1577	1935
449	1580	1931
450	1583	1927
451	1589	1927
452	1592	1923
453	1596	1920
454	1601	1917
455	1605	1914
456	1607	1910
457	1610	1905
458	1614	1902
459	1617	1898
460	1620	1894
461	1623	1890
462	1627	1887
463	1630	1883
464	1634	1880
465	1637	1876
466	1641	1873
467	1643	1868
468	1647	1865
469	1650	1861
470	1653	1857
471	1656	1853
472	1660	1850
473	1663	1846
474	1666	1842
475	1669	1838
476	1673	1835
477	1677	1831
478	1682	1829
479	1685	1825
480	1688	1821
481	1691	1818
482	1694	1813
483	1697	1809
484	1701	1806
485	1703	1802
486	1706	1797
487	1709	1793
488	1712	1789
489	1715	1785
490	1718	1781
491	1721	1777
492	1725	1773
493	1728	1770
494	1733	1768
495	1736	1764
496	1740	1761
497	1744	1758
498	1752	1759
499	1755	1755
500	1759	1752
501	1762	1748
502	1765	1744
503	1767	1739
504	1770	1735
505	1774	1731
506	1777	1728
507	1781	1725
508	1785	1722
509	1789	1719
510	1792	1715
511	1796	1712
512	1799	1708
513	1803	1705
514	1806	1701
515	1809	1697
516	1812	1693
517	1815	1689
518	1819	1685
519	1821	1681
520	1825	1678
521	1828	1674
522	1831	1669
523	1833	1665
524	1838	1663
525	1842	1659
526	1846	1657
527	1849	1653
528	1852	1649
529	1856	1646
530	1860	1643
531	1863	1639
532	1867	1636
533	1870	1632
534	1875	1629
535	1878	1626
536	1881	1622
537	1885	1619
538	1889	1615
539	1892	1612
540	1895	1608
541	1898	1604
542	1902	1601
543	1906	1597
544	1909	1594
545	1911	1589
546	1915	1586
547	1918	1582
548	1922	1579
549	1925	1575
550	1928	1571
551	1932	1568
552	1936	1565
553	1939	1561
554	1943	1558
555	1946	1554
556	1950	1551
557	1952	1546
558	1955	1542
559	1956	1537
560	1958	1532
561	1962	1529
562	1965	1525
