iter	Passed	Remaining
0	3	3245
1	6	3180
2	10	3555
3	13	3322
4	18	3663
5	21	3532
6	26	3722
7	29	3641
8	33	3675
9	36	3612
10	41	3762
11	44	3636
12	47	3623
13	53	3745
14	57	3766
15	61	3759
16	64	3743
17	69	3805
18	74	3839
19	77	3796
20	79	3713
21	83	3693
22	86	3683
23	92	3746
24	93	3663
25	97	3653
26	100	3605
27	104	3634
28	108	3618
29	111	3594
30	112	3524
31	115	3506
32	119	3508
33	122	3489
34	127	3522
35	130	3496
36	134	3490
37	137	3489
38	141	3483
39	146	3505
40	153	3590
41	158	3619
42	162	3621
43	168	3657
44	171	3632
45	174	3609
46	177	3599
47	181	3594
48	186	3629
49	190	3611
50	194	3611
51	200	3658
52	204	3645
53	207	3639
54	211	3628
55	216	3657
56	220	3641
57	223	3634
58	230	3679
59	234	3670
60	238	3664
61	242	3671
62	246	3667
63	250	3670
64	254	3660
65	258	3658
66	262	3653
67	266	3654
68	269	3641
69	273	3637
70	278	3640
71	282	3638
72	285	3622
73	289	3620
74	294	3631
75	298	3623
76	301	3609
77	305	3605
78	308	3594
79	313	3600
80	317	3601
81	325	3646
82	331	3667
83	337	3675
84	342	3688
85	347	3689
86	352	3695
87	357	3708
88	362	3706
89	367	3715
90	369	3693
91	374	3691
92	379	3700
93	382	3686
94	385	3676
95	389	3664
96	393	3667
97	397	3661
98	402	3661
99	406	3658
100	410	3653
101	413	3641
102	417	3634
103	420	3625
104	425	3626
105	429	3623
106	435	3631
107	438	3622
108	443	3627
109	451	3649
110	455	3649
111	459	3641
112	463	3637
113	470	3656
114	475	3657
115	478	3646
116	484	3655
117	488	3650
118	493	3651
119	496	3638
120	504	3663
121	507	3648
122	511	3645
123	514	3637
124	521	3652
125	525	3645
126	531	3654
127	536	3652
128	539	3644
129	542	3632
130	545	3620
131	550	3622
132	554	3614
133	557	3601
134	561	3600
135	565	3595
136	570	3592
137	573	3580
138	577	3576
139	580	3565
140	585	3568
141	587	3552
142	592	3549
143	595	3541
144	600	3538
145	603	3532
146	607	3526
147	611	3519
148	617	3527
149	621	3521
150	624	3510
151	627	3502
152	632	3502
153	636	3495
154	640	3490
155	643	3481
156	647	3477
157	651	3472
158	655	3467
159	658	3458
160	662	3452
161	666	3446
162	669	3438
163	673	3433
164	679	3437
165	682	3431
166	687	3430
167	693	3434
168	698	3433
169	701	3427
170	706	3427
171	711	3424
172	721	3447
173	726	3448
174	730	3445
175	735	3443
176	739	3437
177	743	3433
178	747	3428
179	751	3424
180	755	3417
181	759	3414
182	763	3408
183	767	3405
184	772	3401
185	776	3397
186	780	3391
187	787	3401
188	791	3397
189	797	3398
190	800	3392
191	806	3393
192	809	3384
193	811	3371
194	814	3362
195	820	3364
196	823	3357
197	829	3357
198	831	3347
199	835	3343
200	840	3339
201	843	3332
202	847	3326
203	853	3330
204	857	3323
205	861	3321
206	869	3331
207	873	3326
208	877	3319
209	882	3320
210	886	3314
211	893	3322
212	897	3315
213	901	3311
214	905	3307
215	909	3300
216	915	3303
217	918	3296
218	922	3290
219	926	3285
220	930	3280
221	935	3279
222	939	3273
223	943	3266
224	949	3272
225	953	3266
226	958	3262
227	965	3268
228	968	3260
229	971	3251
230	974	3245
231	979	3243
